date,latitude,longitude,descr_cat_veh,descr_agglo,descr_lum,age,descr_dispo_secu,descr_grav,descr_type_col
16,45.8667,6.36667,8,1,1,39.0,11,2,8
31,48.8667,2.11667,7,1,1,60.0,11,3,4
27,45.4333,4.4,21,2,1,35.0,14,2,1
17,42.9748,2.99306,21,1,3,50.0,15,4,7
5,43.5667,1.3,7,2,1,42.0,11,4,8
44,45.4667,-0.566667,21,1,1,77.0,14,1,1
10,43.6,1.43333,7,2,1,58.0,11,4,8
40,48.8833,6.55,21,1,1,38.0,14,2,1
17,45.45,1.4,9,2,3,56.0,14,2,1
36,43.3833,3.18333,7,2,1,39.0,11,4,3
18,47.4833,6.4,13,2,1,59.0,11,4,4
38,48.2333,3.26667,13,2,1,33.0,11,2,1
21,43.5,1.41667,8,2,1,43.0,11,3,1
9,43.65,3.78333,21,1,1,35.0,14,4,2
48,49.0333,2.06667,21,1,2,53.0,15,4,8
21,49.5667,2.3,21,2,1,74.0,14,3,1
44,44.9833,5.75,5,2,4,31.0,11,3,1
30,51.0333,2.46667,7,1,1,38.0,11,2,4
36,45.6167,4.93333,21,1,1,16.0,14,1,6
1,49.3667,6.16667,21,2,1,40.0,14,1,1
13,43.6,1.43333,8,2,1,30.0,11,2,1
14,43.1167,5.93333,21,1,1,74.0,14,2,7
39,43.35,0.066667,7,1,3,53.0,11,4,3
23,48.1,4.3,5,2,2,32.0,11,2,1
35,50.2667,2.81667,23,1,2,33.0,14,1,3
11,50.4333,2.83333,4,2,1,35.0,1,2,2
28,43.5167,-0.916667,17,1,1,66.0,14,1,8
33,43.0667,2.23333,21,2,1,73.0,14,1,1
16,45.6833,4.8,13,2,1,31.0,11,2,2
3,43.5667,3.9,21,1,1,35.0,14,2,7
36,48.95,1.81667,21,1,1,66.0,14,3,1
53,43.1833,3.0,5,2,1,38.0,11,2,1
40,50.1,2.58333,21,2,3,62.0,14,4,2
33,43.3,-0.4,7,2,1,51.0,11,4,1
27,43.7167,3.31667,5,2,1,41.0,11,2,1
37,49.5667,2.3,21,2,1,37.0,14,1,1
24,49.7667,2.75,21,1,1,91.0,14,4,1
8,43.7,1.81667,21,2,2,46.0,15,4,3
36,45.0833,0.683333,21,1,4,37.0,14,4,3
50,50.45,2.9,13,2,2,34.0,11,2,1
28,48.25,7.11667,7,1,1,68.0,11,3,8
50,50.7167,2.53333,21,2,1,87.0,14,1,2
41,43.45,3.75,5,1,1,58.0,11,3,1
30,48.9,2.8,21,1,1,54.0,14,3,1
4,45.5333,4.61667,21,2,2,45.0,14,4,2
44,48.15,0.2,7,1,1,51.0,11,4,2
23,45.7333,4.01667,8,1,3,55.0,11,4,3
46,43.4,5.36667,21,1,3,45.0,14,1,7
2,49.7,2.8,21,1,1,70.0,14,4,3
25,49.3167,1.03333,5,2,2,34.0,11,2,1
40,43.1167,5.93333,13,2,1,30.0,11,1,3
52,48.85,-1.56667,21,2,5,75.0,14,1,2
27,50.75,3.11667,7,2,1,31.0,4,3,1
23,45.75,3.21667,21,1,1,38.0,14,2,6
11,45.7833,3.08333,1,2,1,98.0,14,2,3
53,42.5784,8.83334,21,1,1,87.0,14,4,3
35,48.6333,2.45,21,1,1,35.0,14,2,8
37,47.65,6.58333,21,1,1,48.0,14,1,4
11,50.6333,3.06667,21,1,2,68.0,14,1,1
51,47.35,-1.28333,21,1,1,37.0,14,4,6
21,48.15,3.26667,21,1,4,48.0,14,2,1
4,47.05,3.78333,21,1,1,67.0,14,1,3
47,48.6333,2.33333,21,2,1,41.0,14,1,2
31,47.3833,0.733333,10,2,1,58.0,14,2,4
49,47.9167,-1.85,5,1,3,33.0,11,3,1
11,49.2167,6.1,21,1,3,41.0,8,2,2
31,43.4167,6.76667,14,2,2,79.0,11,4,1
34,51.05,2.36667,21,2,2,33.0,14,2,3
41,45.0667,-0.583333,8,1,3,32.0,11,4,8
32,49.5833,2.78333,21,1,3,33.0,14,1,6
20,47.5803,2.90834,21,1,1,88.0,14,4,2
6,46.9917,5.36667,23,1,3,46.0,15,4,8
29,43.2167,-0.55,23,1,1,95.0,14,2,6
45,44.8333,-0.633333,21,2,1,66.0,8,2,7
23,48.9,2.1,21,2,1,92.0,14,1,1
48,43.4833,-1.56667,21,2,4,39.0,14,2,3
25,47.3167,5.01667,4,2,1,64.0,11,2,1
43,48.8667,1.41667,5,1,3,32.0,5,4,4
8,49.2167,2.45,21,1,4,28.0,14,2,2
27,45.5,4.03333,5,2,1,32.0,11,3,1
34,43.1167,5.93333,21,2,1,51.0,1,3,1
8,45.7333,4.8,21,1,1,88.0,14,2,7
14,42.5945,9.16584,21,1,1,74.0,14,4,3
9,47.3167,5.01667,21,2,1,62.0,14,3,1
20,43.3583,-1.7,21,1,2,37.0,14,3,8
22,43.6833,1.4,21,1,4,42.0,14,3,6
37,47.5833,6.75,13,2,1,31.0,11,3,1
47,47.9667,3.76667,4,2,1,87.0,13,4,3
34,48.0667,2.88333,21,1,1,68.0,14,3,8
4,45.0333,0.016667,21,1,3,92.0,14,3,7
5,49.3833,-1.53333,21,2,1,58.0,14,2,2
46,48.0667,1.3,21,1,4,47.0,14,3,4
37,46.8167,-1.65,21,1,1,50.0,14,1,1
24,49.25,-0.75,21,1,1,60.0,14,1,7
39,48.85,6.86667,21,1,1,43.0,15,3,2
7,48.8,2.06667,21,1,1,45.0,14,1,1
36,43.4,5.36667,21,1,1,61.0,14,3,4
52,45.5167,4.86667,5,1,3,30.0,11,3,3
44,48.7833,2.0,4,2,4,50.0,11,2,1
41,48.3,2.83333,21,1,1,71.0,8,3,3
10,48.75,1.91667,21,2,1,47.0,14,2,4
14,43.1167,5.93333,21,2,1,73.0,8,2,7
29,43.3667,1.81667,21,1,1,27.0,14,4,6
35,48.7333,1.36667,21,2,1,61.0,14,2,4
13,44.2333,5.06667,21,1,1,64.0,14,2,3
30,50.4833,2.96667,21,2,1,62.0,14,1,1
3,47.75,7.33333,5,2,2,62.0,4,2,1
27,46.25,-0.35,7,1,1,42.0,11,4,8
11,45.8,5.03333,21,2,1,54.0,14,1,2
38,48.7333,7.15,21,1,1,98.0,14,4,1
18,48.7667,7.95,13,2,1,30.0,11,3,1
16,48.0833,-1.68333,21,2,1,84.0,14,3,1
32,43.4167,6.76667,21,2,4,90.0,14,3,1
29,43.6833,4.13333,21,1,2,36.0,8,3,3
9,43.9333,0.616667,23,1,1,87.0,14,2,1
12,49.3,1.35,10,2,1,58.0,14,1,3
27,48.5833,7.75,21,1,1,81.0,14,2,8
18,43.7667,1.78333,21,1,1,66.0,14,4,1
20,45.9667,4.18333,21,1,3,35.0,14,4,3
15,48.7167,1.13333,21,1,1,35.0,14,4,2
23,49.4167,1.1,5,2,1,46.0,11,2,2
33,49.3,2.6,21,1,4,45.0,14,2,3
16,44.1,-0.283333,7,1,4,60.0,11,4,1
48,45.9833,4.71667,21,2,1,88.0,1,1,4
47,43.7,-0.816667,7,2,3,58.0,11,1,4
19,43.6,3.88333,21,2,1,43.0,14,1,1
27,49.5,1.3,21,2,1,60.0,14,3,2
6,43.1333,5.98333,13,2,1,38.0,11,2,1
52,45.6,2.68333,21,1,1,49.0,14,4,3
36,45.0667,3.56667,4,1,1,23.0,11,3,3
36,45.1667,5.71667,15,2,1,44.0,11,2,1
15,42.9833,0.633333,21,1,1,52.0,14,4,1
29,46.8833,1.48333,21,1,1,46.0,14,4,2
31,45.7667,3.3,21,2,2,51.0,14,3,3
9,44.0333,4.08333,21,1,4,38.0,14,4,2
27,49.4167,2.83333,21,2,1,42.0,14,1,2
46,48.65,0.483333,21,2,4,73.0,14,1,1
33,48.1167,5.13333,5,2,1,30.0,11,2,2
44,48.65,6.18333,21,2,2,34.0,14,1,2
30,43.5833,6.26667,21,1,1,59.0,14,1,1
27,42.6833,2.88333,21,1,3,16.0,14,3,2
33,45.7667,4.88333,21,2,2,44.0,8,3,1
37,47.7667,7.4,21,2,1,88.0,14,1,1
35,48.2692,6.97639,4,2,1,27.0,2,3,1
31,49.2167,2.61667,21,1,1,40.0,14,2,3
50,45.4333,4.4,21,2,4,86.0,14,1,2
43,43.477,1.68806,21,1,1,38.0,14,4,2
47,43.6,1.43333,5,2,2,38.0,11,2,1
5,45.5833,4.63333,5,1,3,33.0,11,3,3
42,48.5833,7.75,4,2,1,28.0,3,2,1
8,47.5333,-1.88333,13,1,3,29.0,11,4,3
27,43.4833,-1.56667,5,2,1,43.0,11,2,1
38,50.4167,2.9,21,2,1,34.0,15,3,8
44,48.7667,2.03333,7,2,1,70.0,11,4,1
35,47.3833,0.733333,21,2,1,43.0,14,1,1
33,46.35,6.63333,7,1,1,67.0,11,3,8
52,45.6667,-0.033333,21,1,3,15.0,12,4,6
21,49.25,-0.683333,21,1,1,75.0,14,4,2
34,47.3167,5.01667,21,2,1,52.0,14,1,4
27,45.3667,3.33333,5,1,2,44.0,5,4,3
12,45.6333,-1.03333,21,2,1,48.0,14,2,1
30,48.5,2.8,21,2,1,86.0,14,1,3
11,45.05,5.05,21,2,1,46.0,14,1,2
43,50.75,3.15,21,1,1,23.0,12,2,4
18,50.0167,1.56667,21,1,1,64.0,14,2,1
7,50.4,2.86667,5,2,1,75.0,11,2,8
26,47.2833,-2.2,21,2,2,40.0,14,1,3
29,49.3667,1.93333,21,1,1,61.0,14,4,1
32,43.6667,-1.3,21,2,1,61.0,14,1,1
50,48.65,2.41667,13,2,1,45.0,11,2,1
20,48.5833,7.75,21,2,5,67.0,14,1,1
48,46.05,-0.5,21,1,1,35.0,14,4,2
24,43.9833,0.016667,7,1,1,35.0,11,3,3
15,50.7333,2.7,21,1,3,36.0,14,1,6
51,49.3856,1.0275,21,1,1,45.0,14,1,7
51,44.9,-0.733333,21,1,5,51.0,14,1,1
23,45.7667,4.88333,21,1,1,46.0,14,1,1
42,48.9333,2.05,21,2,1,59.0,14,2,7
5,50.4833,2.96667,13,2,2,32.0,11,3,1
35,49.4167,2.83333,21,2,1,61.0,14,2,1
41,49.5167,2.95,21,1,3,50.0,14,4,6
37,46.7833,-2.06667,23,2,1,73.0,14,1,1
27,44.8,-0.616667,21,1,2,72.0,14,1,4
46,44.2333,2.36667,21,1,3,96.0,14,4,3
41,48.795,5.21584,21,1,1,64.0,14,4,8
37,43.9333,-0.233333,7,1,1,62.0,11,4,8
7,49.2833,6.2,24,1,3,70.0,8,1,3
30,50.6667,3.15,21,1,1,34.0,14,2,4
3,48.1333,-1.81667,4,2,1,81.0,11,4,1
28,48.8167,3.03333,21,2,1,39.0,14,1,7
15,48.0295,5.34528,10,2,1,34.0,14,2,6
36,44.7931,0.853612,21,1,3,60.0,14,3,3
12,50.4167,3.65,5,2,1,32.0,11,3,2
23,47.9167,0.75,21,2,1,72.0,14,2,1
27,45.1333,1.45,13,2,1,32.0,5,3,2
17,49.5167,0.55,21,1,1,17.0,14,4,1
17,49.25,0.383333,5,2,1,29.0,11,1,1
6,49.6333,2.48333,21,2,3,37.0,8,2,8
14,49.5,0.2,4,2,2,68.0,11,4,8
14,49.2,2.48333,21,1,1,59.0,14,3,1
12,45.6333,-1.03333,21,2,1,85.0,14,1,1
11,45.4678,4.94278,5,1,1,30.0,11,3,3
41,48.6833,6.2,21,2,1,50.0,14,1,1
49,46.1667,-1.15,21,2,2,32.0,14,1,1
22,47.4164,5.97139,13,2,1,34.0,11,3,2
33,47.85,-1.95,21,1,3,65.0,14,4,3
33,45.95,-1.31667,3,2,1,93.0,15,4,4
44,49.65,-1.65,13,2,5,36.0,11,4,3
6,46.8,4.43333,21,1,4,36.0,14,2,4
27,50.3667,3.06667,4,2,4,36.0,5,3,1
23,48.9167,-1.35,8,1,1,66.0,11,4,3
3,45.75,3.4,21,1,1,55.0,14,3,3
31,43.1833,2.78333,21,1,1,93.0,14,4,6
7,49.7667,2.86667,21,1,1,58.0,14,2,1
19,43.3333,1.33333,21,1,1,94.0,14,3,3
4,43.75,3.83333,21,1,1,53.0,14,4,3
45,48.4667,3.9,21,1,1,47.0,14,3,3
44,47.85,5.71667,21,1,1,34.0,14,3,3
24,44.05,0.05,21,1,1,66.0,14,3,1
34,43.4833,-1.48333,21,1,3,83.0,15,4,4
21,46.7333,-0.166667,23,1,3,57.0,14,4,2
11,48.6667,7.71667,21,1,3,38.0,14,1,6
35,49.3856,1.0275,7,2,1,40.0,4,4,2
3,42.8833,2.5,21,1,1,51.0,14,2,3
10,49.3333,6.11667,21,2,2,65.0,14,1,1
46,43.3,-0.366667,21,2,2,90.0,14,3,4
43,46.7833,4.9,21,2,1,35.0,14,1,1
27,48.4333,2.15,13,2,1,41.0,11,2,4
6,46.9667,-0.216667,21,1,1,24.0,14,3,1
42,50.35,3.45,5,2,2,32.0,11,4,1
22,49.9333,1.08333,21,2,1,81.0,14,2,6
40,47.6,7.36667,8,1,1,57.0,11,1,2
32,47.2167,2.08333,21,2,1,41.0,14,1,2
37,49.5667,2.3,7,2,1,42.0,11,2,1
33,47.0167,1.28333,7,1,1,35.0,11,4,2
10,45.6333,5.48333,21,1,2,69.0,14,2,3
24,49.3856,1.0275,21,2,1,49.0,14,2,4
23,44.9,-0.733333,21,1,1,76.0,14,3,6
23,47.4,0.6,21,1,4,38.0,8,4,2
44,46.3,6.45,13,1,3,31.0,11,4,3
17,47.9667,3.51667,21,1,3,39.0,15,4,3
38,48.0333,-0.383333,21,1,3,47.0,14,4,2
42,46.7667,4.83333,21,1,1,87.0,14,1,1
6,46.9667,-0.216667,13,2,1,31.0,11,2,1
44,43.3167,-0.4,21,2,2,34.0,14,1,3
22,49.0167,1.15,21,2,1,66.0,14,1,2
22,45.0442,5.82612,21,1,1,79.0,14,4,3
43,48.5333,0.6,21,1,1,46.0,14,4,8
18,48.0833,-1.68333,21,2,1,45.0,14,2,1
3,50.95,1.83333,21,1,3,44.0,14,1,2
18,45.0333,-0.133333,21,1,1,36.0,14,3,3
50,45.6833,0.233333,21,1,3,37.0,14,4,3
23,45.1,1.53333,21,1,3,39.0,15,4,2
3,50.75,2.65,23,1,3,56.0,14,2,2
26,45.4833,0.7,21,1,1,42.0,14,4,2
30,42.6833,2.88333,17,1,1,34.0,15,2,6
19,43.1167,5.93333,21,2,1,71.0,8,1,4
30,50.45,2.78333,21,2,1,39.0,14,1,1
2,45.4333,4.4,21,2,1,34.0,14,1,2
32,44.8833,5.8,13,1,3,60.0,11,4,2
33,45.1667,5.71667,8,2,1,67.0,11,3,1
46,47.6667,-2.75,21,2,1,48.0,14,2,7
7,43.1167,5.93333,5,2,2,39.0,4,2,1
7,48.9833,1.71667,21,2,2,35.0,14,1,1
29,49.0167,-1.55,21,1,1,89.0,14,4,3
45,46.1833,4.73333,21,2,2,41.0,14,1,2
16,48.5667,2.3,21,2,4,47.0,14,2,6
39,49.2667,2.43333,7,2,3,39.0,11,3,8
10,43.1167,0.733333,21,1,1,68.0,14,3,1
11,46.85,-1.96667,23,1,3,45.0,14,4,8
22,44.9333,4.9,7,2,1,34.0,5,4,2
46,45.75,6.3,7,1,1,41.0,11,4,3
49,48.8,2.18333,23,1,1,39.0,14,1,7
2,48.0,0.2,5,2,2,30.0,11,2,1
28,44.35,-1.06667,21,1,1,58.0,14,4,2
25,49.2667,2.48333,21,2,1,34.0,8,1,8
10,44.8333,4.9,23,1,1,65.0,14,2,1
19,47.75,7.33333,5,2,2,37.0,11,2,3
21,48.5333,7.63333,21,1,1,71.0,14,3,7
44,43.4,3.68333,5,2,1,28.0,11,3,1
21,43.9333,0.616667,7,1,1,43.0,11,3,1
17,48.7,2.25,21,1,3,54.0,14,2,4
18,48.2167,-1.75,21,1,2,41.0,15,4,2
3,49.6167,3.01667,21,1,3,90.0,14,4,1
46,45.6833,4.88333,21,2,2,54.0,14,2,4
31,49.6,0.133333,21,1,1,50.0,14,2,3
32,47.1833,-2.15,21,1,1,62.0,8,3,2
19,45.1,4.83333,21,1,3,50.0,14,3,3
14,48.1333,-0.7,21,1,1,51.0,14,3,3
30,48.9,2.8,21,1,1,32.0,14,2,1
24,47.7167,2.58333,21,1,1,42.0,14,4,3
46,49.95,1.76667,5,2,1,38.0,11,3,1
15,44.8833,2.35,21,1,1,88.0,14,4,1
24,47.75,7.33333,21,2,1,65.0,1,3,7
45,49.1333,6.16667,21,2,2,62.0,15,1,6
51,45.55,4.28333,21,2,2,32.0,14,3,8
43,45.6833,5.03333,5,2,1,30.0,11,3,1
23,48.8333,-0.00833333,21,1,3,41.0,15,4,8
38,45.4333,4.4,5,2,1,32.0,11,2,1
9,43.9,3.73333,21,1,1,48.0,14,2,3
51,43.6669,1.19528,21,2,2,83.0,14,4,3
1,49.15,0.233333,21,2,2,53.0,14,1,1
3,48.5833,7.75,5,2,1,93.0,4,2,1
31,45.6333,-1.03333,21,2,4,36.0,14,1,1
49,47.25,-2.35,5,2,2,36.0,11,2,1
2,50.15,1.86667,21,1,3,68.0,14,4,1
19,45.8214,4.89833,13,2,1,55.0,11,3,1
5,45.2833,4.16667,21,2,1,34.0,14,1,2
31,49.4333,1.08333,13,2,1,37.0,11,3,1
30,47.45,-0.266667,13,1,1,33.0,11,1,2
3,43.6,1.43333,7,2,2,43.0,11,4,8
5,49.0167,-0.75,2,1,4,27.0,14,2,1
50,43.1167,5.93333,13,2,1,28.0,11,2,1
40,48.9333,8.15,8,1,1,33.0,11,2,8
26,46.15,-1.08333,5,2,1,60.0,11,3,2
1,50.3333,3.38333,21,2,2,60.0,14,3,1
28,43.1,-0.116667,21,1,1,34.0,14,4,3
25,48.7,2.3,15,1,1,55.0,11,3,1
15,48.8,2.18333,21,1,1,61.0,14,1,4
21,49.2833,3.68333,5,2,1,36.0,11,3,1
3,48.75,7.51667,21,1,1,56.0,14,3,1
13,48.7,4.8,21,2,4,40.0,14,4,8
34,45.1333,2.98333,21,2,1,81.0,14,1,3
36,42.9667,2.26667,21,1,3,45.0,14,2,2
45,50.65,3.03333,21,2,1,66.0,14,1,2
31,49.2167,5.63333,21,1,1,40.0,14,3,6
11,50.4667,2.86667,7,1,1,59.0,11,2,2
43,49.4333,5.91667,21,1,1,59.0,14,2,1
20,45.8,2.85,5,1,1,34.0,4,4,8
40,49.4787,2.29361,8,1,3,39.0,5,4,3
23,43.1333,5.98333,21,1,1,39.0,14,1,1
13,47.3589,1.74361,5,2,1,30.0,11,3,1
29,48.4906,1.26195,21,1,1,93.0,14,4,6
30,48.3167,6.9,21,2,3,72.0,14,3,8
27,48.4333,1.46667,23,2,1,36.0,14,1,3
21,44.9833,-0.066667,21,1,1,73.0,14,1,1
14,45.8667,4.75,21,1,1,75.0,14,3,4
1,49.8833,2.38333,21,2,2,35.0,15,4,8
12,47.8833,1.95,7,1,2,70.0,11,4,1
21,50.7,1.58333,21,2,1,32.0,14,3,3
17,42.6833,2.88333,21,1,1,82.0,14,2,7
34,41.5909,9.27973,7,1,1,59.0,11,4,3
50,48.95,0.816667,21,1,1,91.0,14,4,3
27,45.2,-0.75,5,1,1,87.0,4,4,3
48,48.6667,2.35,21,1,1,66.0,14,1,6
44,43.7722,1.29361,21,2,2,39.0,14,4,3
42,45.6833,-0.666667,21,1,1,84.0,15,4,1
38,48.6,2.48333,21,2,1,42.0,14,1,6
31,48.9667,1.86667,7,1,1,57.0,11,4,8
19,46.3167,4.75,13,1,3,31.0,11,4,4
43,43.45,1.43333,21,1,1,32.0,14,4,2
50,48.5167,-2.78333,21,2,2,37.0,14,1,7
44,48.6667,5.9,21,1,2,49.0,14,1,6
5,48.85,3.23333,13,2,1,34.0,11,3,4
49,48.6667,2.33333,21,1,3,54.0,14,2,7
8,48.9,6.06667,23,2,1,43.0,14,2,4
3,49.3667,6.16667,21,2,1,36.0,14,1,1
20,43.35,3.53333,23,1,1,46.0,14,3,2
11,43.4333,2.96667,21,1,1,64.0,8,3,3
23,44.4167,-0.675,7,1,4,57.0,11,4,2
44,51.0167,2.28333,21,2,2,67.0,14,4,2
14,43.1167,5.93333,21,2,1,57.0,8,1,2
36,44.85,0.383333,7,1,1,66.0,11,3,3
26,46.75,-1.91667,7,1,1,35.0,11,4,2
31,49.1214,6.28084,7,1,1,49.0,11,4,3
34,44.5,0.966667,7,1,1,60.0,11,4,3
50,46.55,0.333333,21,2,2,34.0,14,1,2
24,48.4333,1.31667,21,1,3,36.0,14,3,3
27,48.9167,2.2,7,2,1,65.0,11,2,1
20,44.6503,0.0808333,25,2,1,53.0,14,2,3
47,47.3833,0.683333,13,2,2,34.0,11,2,1
27,48.6333,2.45,21,1,1,51.0,14,2,7
17,49.0,2.38333,21,2,1,73.0,14,1,2
32,43.1,5.88333,21,2,1,35.0,8,1,3
26,48.7,7.78333,23,2,1,44.0,14,1,2
44,45.4667,4.36667,21,2,1,36.0,14,1,1
25,49.65,-1.65,7,2,1,43.0,11,3,1
8,44.7333,-0.683333,17,1,3,74.0,14,1,6
30,44.0,4.86667,21,1,1,59.0,14,4,3
11,48.3167,6.9,12,2,1,66.0,5,4,2
8,49.0833,4.21667,21,1,3,32.0,14,3,3
11,45.7833,3.08333,13,2,1,29.0,11,2,8
27,42.6325,9.35556,21,1,3,33.0,14,3,8
25,47.1667,5.13333,21,1,1,51.0,14,4,3
27,46.0367,4.06889,21,2,1,36.0,14,1,2
12,49.9,1.26667,21,1,1,64.0,14,3,3
10,47.7833,7.08333,21,1,1,90.0,14,4,2
43,42.5945,9.16584,21,1,1,99.0,14,4,8
19,43.7,-0.933333,7,1,1,59.0,11,4,1
26,43.8333,-0.3,21,1,1,80.0,14,4,1
12,48.6,7.75,4,2,1,55.0,1,2,2
48,46.1,2.05,21,1,1,37.0,14,2,1
34,43.7,0.483333,21,1,1,91.0,14,4,3
26,49.3667,6.16667,21,2,4,46.0,14,1,1
19,49.4,1.26667,21,2,1,44.0,14,2,4
4,45.4833,4.8,10,1,3,46.0,14,1,6
8,48.7833,2.0,21,2,2,35.0,14,2,7
11,47.3167,5.01667,21,2,1,65.0,14,1,4
16,50.6667,3.15,21,1,1,92.0,8,1,2
51,48.8833,2.11667,10,2,2,49.0,14,1,4
48,46.2667,6.25,21,1,1,79.0,14,1,4
39,43.1167,5.93333,15,2,1,55.0,11,2,1
52,45.6167,5.23333,13,1,3,31.0,11,4,3
48,44.0167,1.98333,21,1,4,35.0,14,2,3
18,44.4,2.11667,21,1,3,50.0,14,4,1
34,45.45,4.33333,21,1,1,39.0,14,2,1
11,45.4667,4.35,7,1,1,47.0,11,4,8
21,47.9667,-1.5,13,2,1,32.0,11,3,1
51,50.7,3.21667,21,1,1,41.0,8,1,2
25,44.8667,4.88333,21,1,3,53.0,8,4,8
2,48.5833,7.75,4,2,2,32.0,1,2,1
9,47.65,-1.5,21,1,1,100.0,14,4,1
12,43.6,3.88333,8,2,1,41.0,11,2,1
26,49.2167,4.1,21,1,4,36.0,14,3,8
17,47.3167,5.01667,21,2,4,38.0,14,2,3
5,48.3833,-3.3,21,1,1,70.0,14,2,3
41,42.635,8.93751,13,2,1,34.0,11,3,4
17,50.7,3.16667,21,1,1,65.0,8,3,2
52,48.5167,-4.15,21,1,3,68.0,15,4,8
22,48.0167,-0.766667,4,1,1,78.0,11,4,4
49,48.0833,-1.68333,21,2,1,69.0,8,2,7
32,45.7833,3.08333,21,2,1,15.0,12,2,2
17,48.6833,6.15,21,2,1,59.0,14,1,8
4,43.6,5.96667,21,2,1,70.0,14,3,3
18,42.6833,2.8,21,2,1,95.0,14,4,1
49,46.1167,6.33333,21,1,1,38.0,14,4,2
20,43.1167,5.8,5,2,2,31.0,11,3,1
22,50.4167,3.38333,8,2,1,52.0,11,3,1
2,48.8833,-1.51667,21,1,1,54.0,14,4,2
23,45.1667,5.76667,23,2,1,50.0,14,2,1
3,47.3833,0.683333,7,2,1,34.0,11,3,8
46,45.7833,3.08333,7,2,3,35.0,11,2,8
31,44.7,-1.03333,21,1,3,97.0,14,4,6
23,47.95,1.88333,7,1,2,35.0,11,4,2
27,48.0833,-1.68333,13,2,1,50.0,11,2,2
49,48.5833,7.75,4,2,1,73.0,1,2,1
20,47.6,7.36667,21,1,1,34.0,14,4,2
37,48.5833,7.75,1,2,1,39.0,14,1,1
16,49.6509,2.04917,13,2,1,54.0,11,3,1
14,50.5,2.51667,21,1,1,90.0,14,1,1
12,45.1667,5.71667,21,1,1,68.0,14,2,7
5,43.7667,-0.033333,6,1,1,53.0,15,2,3
34,47.75,-3.36667,13,1,1,32.0,11,2,4
26,48.7333,2.33333,21,1,1,48.0,14,1,4
30,45.75,-0.633333,21,1,1,41.0,8,4,2
4,47.1833,4.68333,21,1,3,42.0,14,4,7
36,50.0333,3.05,21,2,1,44.0,14,3,2
17,47.1167,-0.783333,21,1,1,69.0,14,4,7
39,48.4833,-2.01667,21,1,1,94.0,14,3,6
10,48.5333,-4.31667,21,1,1,61.0,14,4,6
45,43.15,2.73333,23,1,1,72.0,14,3,8
